Dynastie;Printer;Dynastie_id
Arnolt z Dobroslavína;Arnolt z Dobroslavína, Jan, asi 1620–1687;arn
Arnolt z Dobroslavína;Arnolt z Dobroslavína, Jan, –1710;arn
Arnolt z Dobroslavína;Arnolt z Dobroslavína, Karel Ferdinand, asi 1670–1749;arn
Arnolt z Dobroslavína;Arnoltová z Dobroslavína, Anna Kateřina, činná 1710–1713;arn
Arnolt z Dobroslavína;Arnoltová z Dobroslavína, Kateřina Eufrosina, činná 1686–1687;arn
Beringer;Beringer, Jiří Samuel, –1704;ber
Beringer;Beringerová, Barbora Františka, činná 1704–1727;ber
Bylina;Bylina, Jan, –asi 1649;byl
Bylina;Bylina, Jan, činný 1630–1631;byl
Bylina;Bylina, Štěpán, –1624;byl
Bylina;Bylinová, Judita, –1630;byl
Bylina;Dědicové Štěpána Byliny (firma);byl
Černoch;Černoch, Jiří, –1684;cer
Černoch;Černochová, Kateřina, činná 1684–1686;cer
Fický – Hladký;Fický, Jan Norbert, činný 1726–1745;fic
Fický – Hladký;Hladký, František Karel, –1758;fic
Hampel;Hampel, Jan Mikuláš, –1694;ham
Hampel;Hampeliana (tiskárna);ham
Hampel;Hampelová, Anna Voršila, –1711;ham
Hampel;Hampelová, Anna Zuzana, činná 1713;ham
Hraba;Hraba, Karel Jan, –1735;hra
Hraba;Karel Jan Hraba, dědicové (firma : 1735–1738);hra
Hraba;Hraba, Jan Karel, –1793;hra
Jeřábek;Jeřábek, Jan Karel, –1705;jer
Jeřábek;Jan Karel Jeřábek, dědicové (firma);jer
Jeřábek;Jeřábek, Karel Josef, činný 1710–1736;jer
Jeřábek;Jeřábek, Ignác, činný 1729–;jer
Jeřábek;Jeřábek, Jan Julius, činný 1733–1754;jer
Kamenický;Kamenický, Daniel Vojtěch, –1711;kam
Kamenický;Kamenický, Jáchym Jan, činný 1707–1733;kam
Kamenický;Kamenický, Leopold, činný 1733–1771;kam
Koniáš;Koniáš, Vojtěch Jiří, činný 1685–1710;kon
Koniáš;Koniášová, Kateřina Alžběta, –asi 1713;kon
Koudelka;Koudelka, Matěj Bedřich, činný 1739–1741;kou
Koudelka;Průšová, Jana, činná 18. století;kou
Koudelka;Průša, Ignác František, –1762;kou
Laboun;Jiří Ondřej Laboun, dědicové (firma);lab
Laboun;Laboun, Jiří Ondřej, –1725;lab
Laboun;Laboun, Jiří, ml., –asi 1749;lab
Laboun;Laboun, Jiří, st., –1710;lab
Rosenmüller;Rosenmüller, Karel František, st., 1678–1727;ros
Rosenmüller;Rosenmüller, Karel František, ml., 1707–1745;ros
Rosenmüller;Rosenmüller, Karel František;ros
Rosenmüller;Klauserová, Žofie Johana, –1780;ros
Sedlčanský;Sedlčanská z Karlova, Ludmila, ml., –1664;sed
Sedlčanský;Sedlčanská, Ludmila, st., činná 1637–1638;sed
Sedlčanský;Sedlčanský, Daniel, ml., –1648;sed
Sedlčanský;Sedlčanský, Jiří, –1637;sed
Sedlčanský;Michálek, Daniel, 1655–1689;sed
Sedlčanský;Michálková, Eva Polexina, činná 1689–1696;sed
Sedlčanský;Bennek, Petr Antonín, –asi 1716;sed
Šípař;Šípař, Jiří, –1651;sip
Šípař;Goliášová, Ludmila, –asi 1680;sip
Šípař;Goliáš, Urban Baltazar, –asi 1679;sip
